 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base\rational.jl       182 Rational{BigInt}(x::Rational{BigI…
     1         1 @Base\rational.jl        14 unsafe_rational
     1         1 @Base\mpfr.jl           621 /(x::BigFloat, y::BigFloat)
     1         1 @Base\promotion.jl      637 ==(x::Int64, y::Int64)
     1         0 @Float3109s\src\Printf2.jl 1064 _normalize_a_string_to_leading_on…
     1         1 @Base\hamt.jl            53 Leaf
     1         0 @Base\array.jl         1345 push!(a::Vector{Rational{BigInt}}…
     1         0 @Base\array.jl         1204 _growend!
     1         1 @Base\int.jl             83 <
     1         0 stdin                    43 run_hextab_like()
     1         0 @Float3109s\src\hextabulations.jl   21 AllSubnormalIconsOf(fmt::Main.Pro…
     1         0 @Base\strings\io.jl     126 _str_sizehint(x::Int64)
     1         0 @Base\intfuncs.jl       827 ndigits0z(x::Int64, b::Int64)
     1         0 @Base\intfuncs.jl       769 ndigits0zpb(x::Int64, b::Int64)
     1         0 @Base\intfuncs.jl       723 bit_ndigits0z
     1         0 @Base\essentials.jl     964 getindex
     1         0 @Base\essentials.jl     385 checkbounds
     1         0 @Base\essentials.jl     381 checkbounds
     1         0 @Base\essentials.jl      11 length
     1         1 @Base\essentials.jl      10 size
     1         1 @Float3109s\src\hexstrings.jl   14 AllHexStringValuesOf(fmt::Main.Pr…
     1         1 @Base\strings\substring.jl  238 _string(::String, ::Vararg{String…
     1         1 @Base\hamt.jl            65 HAMT
     1         1 @Float3109s\src\codepoints.jl   51 cp_nan(fmt::Main.ProfRun.Format{M…
     1         0 @Float3109s\src\Printf2.jl 1052 _normalize_a_string_to_leading_on…
     1         0 @Base\array.jl          385 copy
     1         0 @Float3109s\src\Printf2.jl 1067 _normalize_a_string_to_leading_on…
     1         0 @Base\strings\substring.jl  259 _string(::String, ::Vararg{String…
     1         0 @Base\strings\substring.jl  217 __unsafe_string!
     1         0 @Base\array.jl          260 unsafe_copyto!
     1         1 @Base\cmem.jl            28 memmove
     1         1 @Base\mpfr.jl           624 /(x::BigFloat, y::BigFloat)
     1         0 @Float3109s\src\Printf2.jl 1074 _normalize_a_string_to_leading_on…
     1         0 @Base\strings\substring.jl   83 length(s::SubString{String})
     1         0 @Base\strings\string.jl  547 length
     1         1 @Base\promotion.jl      637 ==
     1         0 @Float3109s\src\Printf2.jl 1121 _normalize_a_string_to_leading_ze…
     1         0 @Base\gmp.jl            767 string(n::BigInt; base::Int64, pa…
     1         0 @Float3109s\src\Printf2.jl 1075 _normalize_a_string_to_leading_on…
     1         0 @Base\path.jl           346 joinpath
     1         0 @Base\path.jl           283 joinpath(paths::Tuple{String, Str…
     1         0 @Base\path.jl            55 splitdrive(path::String)
     1         0 @Base\regex.jl          477 match
     1         0 @Base\regex.jl          432 match
     1         0 @Base\regex.jl          434 match(re::Regex, str::String, idx…
     1         0 @Base\pcre.jl           221 exec_r_data
     1         1 @Base\pcre.jl           227 create_match_data
     1         0 @Base\gmp.jl            302 tryparse_internal(::Type{BigInt},…
     1         0 @Float3109s\src\values.jl  142 _decode_positive_half(fmt::Main.P…
     1         0 @Base\array.jl          384 copy
     1         1 stdin                    44 run_hextab_like()
     1         0 @Base\mpfr.jl           376 BigFloat(x::BigInt, r::Base.MPFR.…
     1         0 @Base\mpfr.jl           154 BigFloat
     1         0 @Base\mpfr.jl           166 _
     1         1 @Base\pointer.jl        178 unsafe_store!
     1         1 @Base\iterators.jl      195 iterate(e::Base.Iterators.Enumera…
     1         0 @Base\strings\substring.jl  252 _string(::String, ::Vararg{Union{…
     1         0 @Base\intfuncs.jl       976 dec(x::UInt64, pad::Int64, neg::B…
     1         0 @Float3109s\src\Printf2.jl 1059 _normalize_a_string_to_leading_on…
     1         0 @Base\strings\search.jl  165 findnext(pred::Base.Fix2{typeof(=…
     1         1 @Base\strings\search.jl  196 _search
     1         0 @Float3109s\src\Printf2.jl 1083 _normalize_a_string_to_leading_on…
     1         0 @Base\gmp.jl            769 string(n::BigInt; base::Int64, pa…
